pid,trial_no,type,stim,rt,history_accessed,jspsych
566feba6b937e400052d33b2,1,outcome,"[2,17]",2810,f,"{""exp_type"":""outcome"",""exp_stim"":""[2,17]"",""response"":null,""rt"":2810,""history_accessed"":false,""trial_number"":1,""jspsych"":""{\""obj1\"":2,\""obj2\"":17,\""truth\"":false,\""trial_number\"":1,\""rt\"":2810,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,2,outcome,"[5,5]",1975,f,"{""exp_type"":""outcome"",""exp_stim"":""[5,5]"",""response"":null,""rt"":1975,""history_accessed"":false,""trial_number"":2,""jspsych"":""{\""obj1\"":5,\""obj2\"":5,\""truth\"":false,\""trial_number\"":2,\""rt\"":1975,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,3,outcome,"[2,2]",1949,f,"{""exp_type"":""outcome"",""exp_stim"":""[2,2]"",""response"":null,""rt"":1949,""history_accessed"":false,""trial_number"":3,""jspsych"":""{\""obj1\"":2,\""obj2\"":2,\""truth\"":true,\""trial_number\"":3,\""rt\"":1949,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,4,outcome,"[5,19]",2808,f,"{""exp_type"":""outcome"",""exp_stim"":""[5,19]"",""response"":null,""rt"":2808,""history_accessed"":false,""trial_number"":4,""jspsych"":""{\""obj1\"":5,\""obj2\"":19,\""truth\"":false,\""trial_number\"":4,\""rt\"":2808,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,5,outcome,"[19,19]",1484,f,"{""exp_type"":""outcome"",""exp_stim"":""[19,19]"",""response"":null,""rt"":1484,""history_accessed"":false,""trial_number"":5,""jspsych"":""{\""obj1\"":19,\""obj2\"":19,\""truth\"":false,\""trial_number\"":5,\""rt\"":1484,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,6,outcome,"[3,11]",2355,f,"{""exp_type"":""outcome"",""exp_stim"":""[3,11]"",""response"":null,""rt"":2355,""history_accessed"":false,""trial_number"":6,""jspsych"":""{\""obj1\"":3,\""obj2\"":11,\""truth\"":true,\""trial_number\"":6,\""rt\"":2355,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,7,outcome,"[11,13]",1483,f,"{""exp_type"":""outcome"",""exp_stim"":""[11,13]"",""response"":null,""rt"":1483,""history_accessed"":false,""trial_number"":7,""jspsych"":""{\""obj1\"":11,\""obj2\"":13,\""truth\"":false,\""trial_number\"":7,\""rt\"":1483,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,8,outcome,"[5,17]",1450,f,"{""exp_type"":""outcome"",""exp_stim"":""[5,17]"",""response"":null,""rt"":1450,""history_accessed"":false,""trial_number"":8,""jspsych"":""{\""obj1\"":5,\""obj2\"":17,\""truth\"":false,\""trial_number\"":8,\""rt\"":1450,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,9,outcome,"[7,19]",1191,f,"{""exp_type"":""outcome"",""exp_stim"":""[7,19]"",""response"":null,""rt"":1191,""history_accessed"":false,""trial_number"":9,""jspsych"":""{\""obj1\"":7,\""obj2\"":19,\""truth\"":false,\""trial_number\"":9,\""rt\"":1191,\""history_accessed\"":false}""}"
566feba6b937e400052d33b2,10,outcome,"[3,7]",1048,f,"{""exp_type"":""outcome"",""exp_stim"":""[3,7]"",""response"":null,""rt"":1048,""history_accessed"":false,""trial_number"":10,""jspsych"":""{\""obj1\"":3,\""obj2\"":7,\""truth\"":true,\""trial_number\"":10,\""rt\"":1048,\""history_accessed\"":false}""}"
